ID pérenne	Numéro notice	Type notice
14405044	ark:/12148/cb144050447	
14405050	ark:/12148/cb144050505	
14405051	ark:/12148/cb14405051h	
14405052	ark:/12148/cb14405052v	
14405053	ark:/12148/cb144050536	
14405054	ark:/12148/cb14405054j	
14405060	ark:/12148/cb14405060g	
14405062	ark:/12148/cb144050625	
14405064	ark:/12148/cb14405064v	
14405072	ark:/12148/cb14405072g	
14405073	ark:/12148/cb14405073t	
14405074	ark:/12148/cb144050745	
14405080	ark:/12148/cb144050803	
14405081	ark:/12148/cb14405081f	
14405083	ark:/12148/cb144050834	
14405084	ark:/12148/cb14405084g	
14405090	ark:/12148/cb14405090d	
14405091	ark:/12148/cb14405091r	
14405093	ark:/12148/cb14405093f	
14405094	ark:/12148/cb14405094s	
14405102	ark:/12148/cb14405102k	
11863608	ark:/12148/cb118636082	
11863754	ark:/12148/cb11863754h	
11889929	ark:/12148/cb11889929q	
11890070	ark:/12148/cb11890070q	
11890750	ark:/12148/cb118907501	
11895750	ark:/12148/cb118957507	
11896068	ark:/12148/cb11896068m	
11897555	ark:/12148/cb11897555w	
11900005	ark:/12148/cb11900005k	
11902626	ark:/12148/cb11902626p	
11902894	ark:/12148/cb11902894q	
13889733	ark:/12148/cb13889733p	
13891295	ark:/12148/cb138912954	
13891404	ark:/12148/cb13891404j	
13893072	ark:/12148/cb13893072d	
13939626	ark:/12148/cb139396268	
14406180	ark:/12148/cb14406180m	
14405082	ark:/12148/cb14405082s	
14405100	ark:/12148/cb14405100w	
14405142	ark:/12148/cb14405142t	
14405663	ark:/12148/cb144056635	